strain	date	region	country	division	lineage	is_lab_host	host	genbank_accession	authors
Italy/PP_0003GXH.3/2021-08-16	2021-08-16	Europe	Italy		1A		Culex pipiens	OP009524.1	Barzon, L.; Montarsi, F.; Quaranta, E.; Monne, I.; Pacenti, M.; Michelutti, A.; Toniolo, F.; Danesi, P.; Marchetti, G.; Gobbo, F.; Sinigaglia, A.; Riccetti, S.; Dal Molin, E.; Favero, L.; Russo, F.; Capelli, G.; Quaranta, E. G.; Palumbo, E.; Schivo, A.; Salviato, A.
Italy/PP_0003GYF.3/2022-06-21	2022-06-21	Europe	Italy		1A		Culex pipiens	OP009525.1	Barzon, L.; Montarsi, F.; Quaranta, E.; Monne, I.; Pacenti, M.; Michelutti, A.; Toniolo, F.; Danesi, P.; Marchetti, G.; Gobbo, F.; Sinigaglia, A.; Riccetti, S.; Dal Molin, E.; Favero, L.; Russo, F.; Capelli, G.; Quaranta, E. G.; Palumbo, E.; Schivo, A.; Salviato, A.
Italy/PP_0003J50.3/2022-07-04	2022-07-04	Europe	Italy		1A		Homo sapiens	OP609790.1	Barzon, L.; Pacenti, M.; Montarsi, F.; Fornasiero, D.; Gobbo, F.; Quaranta, E.; Monne, I.; Fusaro, A.; Volpe, A.; Sinigaglia, A.; Riccetti, S.; Molin, E. D.; Satto, S.; Lisi, V.; Gobbi, F.; Galante, S.; Feltrin, G.; Valeriano, V.; Favero, L.; Russo, F.; Mazzucato, M.; Bortolami, A.; Mulatti, P.; Terregino, C.; Capelli, G.; Quaranta, E. G.; Palumbo, E.; Schivo, A.; Salviato, A.
Italy/PP_0003J6Y.3/2022-01-01	2022-05-28	Europe	Italy		1A		Homo sapiens	OP609791.1	Barzon, L.; Pacenti, M.; Montarsi, F.; Fornasiero, D.; Gobbo, F.; Quaranta, E.; Monne, I.; Fusaro, A.; Volpe, A.; Sinigaglia, A.; Riccetti, S.; Molin, E. D.; Satto, S.; Lisi, V.; Gobbi, F.; Galante, S.; Feltrin, G.; Valeriano, V.; Favero, L.; Russo, F.; Mazzucato, M.; Bortolami, A.; Mulatti, P.; Terregino, C.; Capelli, G.; Quaranta, E. G.; Palumbo, E.; Schivo, A.; Salviato, A.
Italy/PP_0003J7W.3/2022-01-01	2022-05-28	Europe	Italy		1A		Homo sapiens	OP609792.1	Barzon, L.; Pacenti, M.; Montarsi, F.; Fornasiero, D.; Gobbo, F.; Quaranta, E.; Monne, I.; Fusaro, A.; Volpe, A.; Sinigaglia, A.; Riccetti, S.; Molin, E. D.; Satto, S.; Lisi, V.; Gobbi, F.; Galante, S.; Feltrin, G.; Valeriano, V.; Favero, L.; Russo, F.; Mazzucato, M.; Bortolami, A.; Mulatti, P.; Terregino, C.; Capelli, G.; Quaranta, E. G.; Palumbo, E.; Schivo, A.; Salviato, A.
Italy/PP_0003J8U.3/2022-01-01	2022-05-28	Europe	Italy		1A		Homo sapiens	OP609793.1	Barzon, L.; Pacenti, M.; Montarsi, F.; Fornasiero, D.; Gobbo, F.; Quaranta, E.; Monne, I.; Fusaro, A.; Volpe, A.; Sinigaglia, A.; Riccetti, S.; Molin, E. D.; Satto, S.; Lisi, V.; Gobbi, F.; Galante, S.; Feltrin, G.; Valeriano, V.; Favero, L.; Russo, F.; Mazzucato, M.; Bortolami, A.; Mulatti, P.; Terregino, C.; Capelli, G.; Quaranta, E. G.; Palumbo, E.; Schivo, A.; Salviato, A.
Italy/PP_0003J9S.3/2022-01-01	2022-05-28	Europe	Italy		1A		Homo sapiens	OP609794.1	Barzon, L.; Pacenti, M.; Montarsi, F.; Fornasiero, D.; Gobbo, F.; Quaranta, E.; Monne, I.; Fusaro, A.; Volpe, A.; Sinigaglia, A.; Riccetti, S.; Molin, E. D.; Satto, S.; Lisi, V.; Gobbi, F.; Galante, S.; Feltrin, G.; Valeriano, V.; Favero, L.; Russo, F.; Mazzucato, M.; Bortolami, A.; Mulatti, P.; Terregino, C.; Capelli, G.; Quaranta, E. G.; Palumbo, E.; Schivo, A.; Salviato, A.
Italy/PP_0003JAQ.3/2022-01-01	2022-05-28	Europe	Italy		1A		Homo sapiens	OP609795.1	Barzon, L.; Pacenti, M.; Montarsi, F.; Fornasiero, D.; Gobbo, F.; Quaranta, E.; Monne, I.; Fusaro, A.; Volpe, A.; Sinigaglia, A.; Riccetti, S.; Molin, E. D.; Satto, S.; Lisi, V.; Gobbi, F.; Galante, S.; Feltrin, G.; Valeriano, V.; Favero, L.; Russo, F.; Mazzucato, M.; Bortolami, A.; Mulatti, P.; Terregino, C.; Capelli, G.; Quaranta, E. G.; Palumbo, E.; Schivo, A.; Salviato, A.
Italy/PP_0003JBN.3/2022-01-01	2022-05-28	Europe	Italy		1A		Homo sapiens	OP609796.1	Barzon, L.; Pacenti, M.; Montarsi, F.; Fornasiero, D.; Gobbo, F.; Quaranta, E.; Monne, I.; Fusaro, A.; Volpe, A.; Sinigaglia, A.; Riccetti, S.; Molin, E. D.; Satto, S.; Lisi, V.; Gobbi, F.; Galante, S.; Feltrin, G.; Valeriano, V.; Favero, L.; Russo, F.; Mazzucato, M.; Bortolami, A.; Mulatti, P.; Terregino, C.; Capelli, G.; Quaranta, E. G.; Palumbo, E.; Schivo, A.; Salviato, A.
Italy/PP_0003JCL.3/2022-01-01	2022-05-28	Europe	Italy		1A		Homo sapiens	OP609797.1	Barzon, L.; Pacenti, M.; Montarsi, F.; Fornasiero, D.; Gobbo, F.; Quaranta, E.; Monne, I.; Fusaro, A.; Volpe, A.; Sinigaglia, A.; Riccetti, S.; Molin, E. D.; Satto, S.; Lisi, V.; Gobbi, F.; Galante, S.; Feltrin, G.; Valeriano, V.; Favero, L.; Russo, F.; Mazzucato, M.; Bortolami, A.; Mulatti, P.; Terregino, C.; Capelli, G.; Quaranta, E. G.; Palumbo, E.; Schivo, A.; Salviato, A.
Italy/PP_0003JDJ.3/2022-01-01	2022-05-28	Europe	Italy		1A		Homo sapiens	OP609798.1	Barzon, L.; Pacenti, M.; Montarsi, F.; Fornasiero, D.; Gobbo, F.; Quaranta, E.; Monne, I.; Fusaro, A.; Volpe, A.; Sinigaglia, A.; Riccetti, S.; Molin, E. D.; Satto, S.; Lisi, V.; Gobbi, F.; Galante, S.; Feltrin, G.; Valeriano, V.; Favero, L.; Russo, F.; Mazzucato, M.; Bortolami, A.; Mulatti, P.; Terregino, C.; Capelli, G.; Quaranta, E. G.; Palumbo, E.; Schivo, A.; Salviato, A.
Italy/PP_0003JEG.3/2022-07-01	2022-07	Europe	Italy		1A		Larus michahellis	OP609799.1	Barzon, L.; Pacenti, M.; Montarsi, F.; Fornasiero, D.; Gobbo, F.; Quaranta, E.; Monne, I.; Fusaro, A.; Volpe, A.; Sinigaglia, A.; Riccetti, S.; Molin, E. D.; Satto, S.; Lisi, V.; Gobbi, F.; Galante, S.; Feltrin, G.; Valeriano, V.; Favero, L.; Russo, F.; Mazzucato, M.; Bortolami, A.; Mulatti, P.; Terregino, C.; Capelli, G.; Quaranta, E. G.; Palumbo, E.; Schivo, A.; Salviato, A.
Italy/PP_0003JFE.3/2022-07-04	2022-07-04	Europe	Italy		1A		Passer domesticus	OP609800.1	Barzon, L.; Pacenti, M.; Montarsi, F.; Fornasiero, D.; Gobbo, F.; Quaranta, E.; Monne, I.; Fusaro, A.; Volpe, A.; Sinigaglia, A.; Riccetti, S.; Molin, E. D.; Satto, S.; Lisi, V.; Gobbi, F.; Galante, S.; Feltrin, G.; Valeriano, V.; Favero, L.; Russo, F.; Mazzucato, M.; Bortolami, A.; Mulatti, P.; Terregino, C.; Capelli, G.; Quaranta, E. G.; Palumbo, E.; Schivo, A.; Salviato, A.
Italy/PP_0003JGC.3/2022-07-08	2022-07-08	Europe	Italy		1A		Turdus merula	OP609801.1	Barzon, L.; Pacenti, M.; Montarsi, F.; Fornasiero, D.; Gobbo, F.; Quaranta, E.; Monne, I.; Fusaro, A.; Volpe, A.; Sinigaglia, A.; Riccetti, S.; Molin, E. D.; Satto, S.; Lisi, V.; Gobbi, F.; Galante, S.; Feltrin, G.; Valeriano, V.; Favero, L.; Russo, F.; Mazzucato, M.; Bortolami, A.; Mulatti, P.; Terregino, C.; Capelli, G.; Quaranta, E. G.; Palumbo, E.; Schivo, A.; Salviato, A.
Italy/PP_0003JH9.3/2022-07-12	2022-07-12	Europe	Italy		1A		Athene noctua	OP609802.1	Barzon, L.; Pacenti, M.; Montarsi, F.; Fornasiero, D.; Gobbo, F.; Quaranta, E.; Monne, I.; Fusaro, A.; Volpe, A.; Sinigaglia, A.; Riccetti, S.; Molin, E. D.; Satto, S.; Lisi, V.; Gobbi, F.; Galante, S.; Feltrin, G.; Valeriano, V.; Favero, L.; Russo, F.; Mazzucato, M.; Bortolami, A.; Mulatti, P.; Terregino, C.; Capelli, G.; Quaranta, E. G.; Palumbo, E.; Schivo, A.; Salviato, A.
Italy/PP_0003JJ7.3/2022-07-14	2022-07-14	Europe	Italy		1A		Pica pica	OP609803.1	Barzon, L.; Pacenti, M.; Montarsi, F.; Fornasiero, D.; Gobbo, F.; Quaranta, E.; Monne, I.; Fusaro, A.; Volpe, A.; Sinigaglia, A.; Riccetti, S.; Molin, E. D.; Satto, S.; Lisi, V.; Gobbi, F.; Galante, S.; Feltrin, G.; Valeriano, V.; Favero, L.; Russo, F.; Mazzucato, M.; Bortolami, A.; Mulatti, P.; Terregino, C.; Capelli, G.; Quaranta, E. G.; Palumbo, E.; Schivo, A.; Salviato, A.
Italy/PP_0003JK5.3/2022-07-20	2022-07-20	Europe	Italy		1A		Garrulus glandarius	OP609804.1	Barzon, L.; Pacenti, M.; Montarsi, F.; Fornasiero, D.; Gobbo, F.; Quaranta, E.; Monne, I.; Fusaro, A.; Volpe, A.; Sinigaglia, A.; Riccetti, S.; Molin, E. D.; Satto, S.; Lisi, V.; Gobbi, F.; Galante, S.; Feltrin, G.; Valeriano, V.; Favero, L.; Russo, F.; Mazzucato, M.; Bortolami, A.; Mulatti, P.; Terregino, C.; Capelli, G.; Quaranta, E. G.; Palumbo, E.; Schivo, A.; Salviato, A.
Italy/PP_0003JL3.3/2022-07-20	2022-07-20	Europe	Italy		1A		Columba palumbus	OP609805.1	Barzon, L.; Pacenti, M.; Montarsi, F.; Fornasiero, D.; Gobbo, F.; Quaranta, E.; Monne, I.; Fusaro, A.; Volpe, A.; Sinigaglia, A.; Riccetti, S.; Molin, E. D.; Satto, S.; Lisi, V.; Gobbi, F.; Galante, S.; Feltrin, G.; Valeriano, V.; Favero, L.; Russo, F.; Mazzucato, M.; Bortolami, A.; Mulatti, P.; Terregino, C.; Capelli, G.; Quaranta, E. G.; Palumbo, E.; Schivo, A.; Salviato, A.
Italy/PP_0003JM1.3/2022-07-29	2022-07-29	Europe	Italy		1A		Egretta garzetta	OP609806.1	Barzon, L.; Pacenti, M.; Montarsi, F.; Fornasiero, D.; Gobbo, F.; Quaranta, E.; Monne, I.; Fusaro, A.; Volpe, A.; Sinigaglia, A.; Riccetti, S.; Molin, E. D.; Satto, S.; Lisi, V.; Gobbi, F.; Galante, S.; Feltrin, G.; Valeriano, V.; Favero, L.; Russo, F.; Mazzucato, M.; Bortolami, A.; Mulatti, P.; Terregino, C.; Capelli, G.; Quaranta, E. G.; Palumbo, E.; Schivo, A.; Salviato, A.
Italy/PP_0003JNZ.3/2022-07-29	2022-07-29	Europe	Italy		1A		Pica pica	OP609807.1	Barzon, L.; Pacenti, M.; Montarsi, F.; Fornasiero, D.; Gobbo, F.; Quaranta, E.; Monne, I.; Fusaro, A.; Volpe, A.; Sinigaglia, A.; Riccetti, S.; Molin, E. D.; Satto, S.; Lisi, V.; Gobbi, F.; Galante, S.; Feltrin, G.; Valeriano, V.; Favero, L.; Russo, F.; Mazzucato, M.; Bortolami, A.; Mulatti, P.; Terregino, C.; Capelli, G.; Quaranta, E. G.; Palumbo, E.; Schivo, A.; Salviato, A.
Italy/PP_0003JPX.3/2022-07-29	2022-07-29	Europe	Italy		1A		Pica pica	OP609808.1	Barzon, L.; Pacenti, M.; Montarsi, F.; Fornasiero, D.; Gobbo, F.; Quaranta, E.; Monne, I.; Fusaro, A.; Volpe, A.; Sinigaglia, A.; Riccetti, S.; Molin, E. D.; Satto, S.; Lisi, V.; Gobbi, F.; Galante, S.; Feltrin, G.; Valeriano, V.; Favero, L.; Russo, F.; Mazzucato, M.; Bortolami, A.; Mulatti, P.; Terregino, C.; Capelli, G.; Quaranta, E. G.; Palumbo, E.; Schivo, A.; Salviato, A.
Italy/PP_0003JQV.3/2022-08-03	2022-08-03	Europe	Italy		1A		Corvus cornix	OP609809.1	Barzon, L.; Pacenti, M.; Montarsi, F.; Fornasiero, D.; Gobbo, F.; Quaranta, E.; Monne, I.; Fusaro, A.; Volpe, A.; Sinigaglia, A.; Riccetti, S.; Molin, E. D.; Satto, S.; Lisi, V.; Gobbi, F.; Galante, S.; Feltrin, G.; Valeriano, V.; Favero, L.; Russo, F.; Mazzucato, M.; Bortolami, A.; Mulatti, P.; Terregino, C.; Capelli, G.; Quaranta, E. G.; Palumbo, E.; Schivo, A.; Salviato, A.
Italy/PP_0003JRT.3/2022-08-04	2022-08-04	Europe	Italy		1A		Culex pipiens	OP609810.1	Barzon, L.; Pacenti, M.; Montarsi, F.; Fornasiero, D.; Gobbo, F.; Quaranta, E.; Monne, I.; Fusaro, A.; Volpe, A.; Sinigaglia, A.; Riccetti, S.; Molin, E. D.; Satto, S.; Lisi, V.; Gobbi, F.; Galante, S.; Feltrin, G.; Valeriano, V.; Favero, L.; Russo, F.; Mazzucato, M.; Bortolami, A.; Mulatti, P.; Terregino, C.; Capelli, G.; Quaranta, E. G.; Palumbo, E.; Schivo, A.; Salviato, A.
Italy/PP_0003JSR.3/2022-08-04	2022-08-04	Europe	Italy		1A		Equus caballus	OP609811.1	Barzon, L.; Pacenti, M.; Montarsi, F.; Fornasiero, D.; Gobbo, F.; Quaranta, E.; Monne, I.; Fusaro, A.; Volpe, A.; Sinigaglia, A.; Riccetti, S.; Molin, E. D.; Satto, S.; Lisi, V.; Gobbi, F.; Galante, S.; Feltrin, G.; Valeriano, V.; Favero, L.; Russo, F.; Mazzucato, M.; Bortolami, A.; Mulatti, P.; Terregino, C.; Capelli, G.; Quaranta, E. G.; Palumbo, E.; Schivo, A.; Salviato, A.
Italy/PP_0003JTP.3/2022-08-07	2022-08-07	Europe	Italy		1A		Corvus cornix	OP609812.1	Barzon, L.; Pacenti, M.; Montarsi, F.; Fornasiero, D.; Gobbo, F.; Quaranta, E.; Monne, I.; Fusaro, A.; Volpe, A.; Sinigaglia, A.; Riccetti, S.; Molin, E. D.; Satto, S.; Lisi, V.; Gobbi, F.; Galante, S.; Feltrin, G.; Valeriano, V.; Favero, L.; Russo, F.; Mazzucato, M.; Bortolami, A.; Mulatti, P.; Terregino, C.; Capelli, G.; Quaranta, E. G.; Palumbo, E.; Schivo, A.; Salviato, A.
Italy/PP_0003JUM.3/2022-08-09	2022-08-09	Europe	Italy		1A		Culex pipiens	OP609813.1	Barzon, L.; Pacenti, M.; Montarsi, F.; Fornasiero, D.; Gobbo, F.; Quaranta, E.; Monne, I.; Fusaro, A.; Volpe, A.; Sinigaglia, A.; Riccetti, S.; Molin, E. D.; Satto, S.; Lisi, V.; Gobbi, F.; Galante, S.; Feltrin, G.; Valeriano, V.; Favero, L.; Russo, F.; Mazzucato, M.; Bortolami, A.; Mulatti, P.; Terregino, C.; Capelli, G.; Quaranta, E. G.; Palumbo, E.; Schivo, A.; Salviato, A.
Italy/PP_0003JVK.3/2022-08-11	2022-08-11	Europe	Italy		1A		Culex pipiens	OP609814.1	Barzon, L.; Pacenti, M.; Montarsi, F.; Fornasiero, D.; Gobbo, F.; Quaranta, E.; Monne, I.; Fusaro, A.; Volpe, A.; Sinigaglia, A.; Riccetti, S.; Molin, E. D.; Satto, S.; Lisi, V.; Gobbi, F.; Galante, S.; Feltrin, G.; Valeriano, V.; Favero, L.; Russo, F.; Mazzucato, M.; Bortolami, A.; Mulatti, P.; Terregino, C.; Capelli, G.; Quaranta, E. G.; Palumbo, E.; Schivo, A.; Salviato, A.
Italy/PP_0003JWH.3/2022-08-17	2022-08-17	Europe	Italy		1A		Corvus cornix	OP609815.1	Barzon, L.; Pacenti, M.; Montarsi, F.; Fornasiero, D.; Gobbo, F.; Quaranta, E.; Monne, I.; Fusaro, A.; Volpe, A.; Sinigaglia, A.; Riccetti, S.; Molin, E. D.; Satto, S.; Lisi, V.; Gobbi, F.; Galante, S.; Feltrin, G.; Valeriano, V.; Favero, L.; Russo, F.; Mazzucato, M.; Bortolami, A.; Mulatti, P.; Terregino, C.; Capelli, G.; Quaranta, E. G.; Palumbo, E.; Schivo, A.; Salviato, A.
Turkey/PP_0003K33.3/2018-01-01	2018-05-28	Europe	Turkey		1A		Homo sapiens	OP617270.1	Bayrakdar, F.
Italy/PP_0003KEF.3/2022-06-21	2022-06-21	Europe	Italy	Veneto	1A		Culex pipiens	OP734262.1	Savini, G.; Monaco, F.; Mencattelli, G.; Curini, V.; Teodori, L.; Polci, A.
Italy/PP_0003KFD.3/2022-07-07	2022-07-07	Europe	Italy	Veneto	1A		Culex pipiens	OP734263.1	Savini, G.; Monaco, F.; Mencattelli, G.; Curini, V.; Teodori, L.; Polci, A.
Italy/PP_0003KGB.3/2022-06-28	2022-06-28	Europe	Italy	Veneto	1A		Pica pica	OP734264.1	Savini, G.; Monaco, F.; Mencattelli, G.; Curini, V.; Teodori, L.; Polci, A.
Italy/PP_0003KH8.3/2022-07-07	2022-07-07	Europe	Italy	Veneto	1A		Phalacrocorax carbo	OP734265.1	Savini, G.; Monaco, F.; Mencattelli, G.; Curini, V.; Teodori, L.; Polci, A.
Italy/PP_0003KK4.3/2022-07-12	2022-07-12	Europe	Italy	Emilia Romagna	1A		Culex pipiens	OP734266.1	Savini, G.; Monaco, F.; Mencattelli, G.; Curini, V.; Teodori, L.; Polci, A.
Italy/PP_0003KL2.3/2022-07-12	2022-07-12	Europe	Italy	Emilia Romagna	1A		Culex pipiens	OP734267.1	Savini, G.; Monaco, F.; Mencattelli, G.; Curini, V.; Teodori, L.; Polci, A.
Italy/PP_0003KM0.3/2022-07-07	2022-07-07	Europe	Italy	Veneto	1A		Culex pipiens	OP734268.1	Savini, G.; Monaco, F.; Mencattelli, G.; Curini, V.; Teodori, L.; Polci, A.
Italy/PP_0003KNY.3/2022-07-18	2022-07-18	Europe	Italy	Veneto	1A			OP734269.1	Savini, G.; Monaco, F.; Mencattelli, G.; Curini, V.; Teodori, L.; Polci, A.
Italy/PP_0003KPW.3/2022-07-19	2022-07-19	Europe	Italy	Emilia Romagna	1A		Culex pipiens	OP734270.1	Savini, G.; Monaco, F.; Mencattelli, G.; Curini, V.; Teodori, L.; Polci, A.
Italy/PP_0003KQU.3/2022-07-13	2022-07-13	Europe	Italy	Veneto	1A		Corvus cornix	OP734271.1	Savini, G.; Monaco, F.; Mencattelli, G.; Curini, V.; Teodori, L.; Polci, A.
Italy/PP_0003KRS.3/2022-07-04	2022-07-04	Europe	Italy	Veneto	1A		Passer domesticus	OP734272.1	Savini, G.; Monaco, F.; Mencattelli, G.; Curini, V.; Teodori, L.; Polci, A.
Italy/PP_0003KTN.3/2022-07-21	2022-07-21	Europe	Italy	Friuli Venezia Giulia	1A		Culex pipiens	OP734273.1	Savini, G.; Monaco, F.; Mencattelli, G.; Curini, V.; Teodori, L.; Polci, A.
Italy/PP_0003KUL.3/2022-07-14	2022-07-14	Europe	Italy	Veneto	1A		Culex pipiens	OP734274.1	Savini, G.; Monaco, F.; Mencattelli, G.; Curini, V.; Teodori, L.; Polci, A.
Italy/PP_0003LK3.3/2022-09-12	2022-09-12	Europe	Italy	Lombardy	1A		Corvus cornix	OP850021.1	Savini, G.; Monaco, F.; Mencattelli, G.; Curini, V.; Teodori, L.; Polci, A.
